Country,Gender,Age Group,unrecovered_prev_year,kidnapped_during_year,all_kidnapped,recovered_alive,recovered_dead,recovered_total,pct_recovery,unrecovered_total,year,case_text,recovery_rate,unrecovered_rate,check_all_kidnapped,check_recovered_total,check_pct,case_text_clean,text_len
India,Female,12 Years to 16 Years,14180,21451,35631,21351,152,21503,60.3,14128,2022,"In 2022, for female children aged 12 years to 16 years, there were 35631 kidnapped cases with a recovery percentage of 60.3.",0.6034913418090988,0.3965086581909012,35631,21503,60.34913418090988,female children aged years years kidnapped cases recovery percentage,9
India,Female,16 Years to 18 Years,22217,37429,59646,39033,407,39440,66.1,20206,2022,"In 2022, for female children aged 16 years to 18 years, there were 59646 kidnapped cases with a recovery percentage of 66.1.",0.6612346175770378,0.33876538242296217,59646,39440,66.12346175770378,female children aged years years kidnapped cases recovery percentage,9
India,Female,6 Years to 12 Years,3077,2807,5884,2656,21,2677,45.5,3207,2022,"In 2022, for female children aged 6 years to 12 years, there were 5884 kidnapped cases with a recovery percentage of 45.5.",0.45496261046906866,0.5450373895309314,5884,2677,45.49626104690687,female children aged years years kidnapped cases recovery percentage,9
India,Female,Below 6 Years,745,412,1157,473,10,483,41.7,674,2022,"In 2022, for female children aged below 6 years, there were 1157 kidnapped cases with a recovery percentage of 41.7.",0.41745894554883317,0.5825410544511668,1157,483,41.74589455488332,female children aged years kidnapped cases recovery percentage,8
India,Male,12 Years to 16 Years,3940,5814,9754,5587,81,5668,58.1,4086,2022,"In 2022, for male children aged 12 years to 16 years, there were 9754 kidnapped cases with a recovery percentage of 58.1.",0.5810949354111133,0.4189050645888866,9754,5668,58.10949354111134,male children aged years years kidnapped cases recovery percentage,9
India,Male,16 Years to 18 Years,4031,5777,9808,5356,112,5468,55.8,4340,2022,"In 2022, for male children aged 16 years to 18 years, there were 9808 kidnapped cases with a recovery percentage of 55.8.",0.5575040783034257,0.4424959216965742,9808,5468,55.750407830342574,male children aged years years kidnapped cases recovery percentage,9
India,Male,6 Years to 12 Years,2255,1942,4197,1884,45,1929,46.0,2268,2022,"In 2022, for male children aged 6 years to 12 years, there were 4197 kidnapped cases with a recovery percentage of 46.0.",0.45961401000714797,0.540385989992852,4197,1929,45.961401000714794,male children aged years years kidnapped cases recovery percentage,9
India,Male,Below 6 Years,655,437,1092,406,14,420,38.5,672,2022,"In 2022, for male children aged below 6 years, there were 1092 kidnapped cases with a recovery percentage of 38.5.",0.38461538461538464,0.6153846153846154,1092,420,38.46153846153846,male children aged years kidnapped cases recovery percentage,8
India,Total,12 Years to 16 Years,18120,27265,45385,26938,233,27171,118.4,18214,2022,"In 2022, for total children aged 12 years to 16 years, there were 45385 kidnapped cases with a recovery percentage of 118.4.",0.598677977305277,0.40132202269472295,45385,27171,59.867797730527705,total children aged years years kidnapped cases recovery percentage,9
India,Total,16 Years to 18 Years,26248,43206,69454,44389,519,44908,121.9,24546,2022,"In 2022, for total children aged 16 years to 18 years, there were 69454 kidnapped cases with a recovery percentage of 121.9.",0.6465862297347885,0.3534137702652115,69454,44908,64.65862297347886,total children aged years years kidnapped cases recovery percentage,9
India,Total,6 Years to 12 Years,5332,4749,10081,4540,66,4606,91.5,5475,2022,"In 2022, for total children aged 6 years to 12 years, there were 10081 kidnapped cases with a recovery percentage of 91.5.",0.4568991171510763,0.5431008828489238,10081,4606,45.68991171510763,total children aged years years kidnapped cases recovery percentage,9
India,Total,Below 6 Years,1400,849,2249,879,24,903,80.2,1346,2022,"In 2022, for total children aged below 6 years, there were 2249 kidnapped cases with a recovery percentage of 80.2.",0.40151178301467316,0.5984882169853268,2249,903,40.15117830146732,total children aged years kidnapped cases recovery percentage,8
India,Female,12 Years to 16 Years,13757,21389,35146,20787,179,20966,59.7,14180,2021,"In 2021, for female children aged 12 years to 16 years, there were 35146 kidnapped cases with a recovery percentage of 59.7.",0.5965401468161384,0.4034598531838616,35146,20966,59.65401468161384,female children aged years years kidnapped cases recovery percentage,9
India,Female,16 Years to 18 Years,21263,33731,54994,32593,184,32777,59.6,22217,2021,"In 2021, for female children aged 16 years to 18 years, there were 54994 kidnapped cases with a recovery percentage of 59.6.",0.5960104738698767,0.4039895261301233,54994,32777,59.60104738698767,female children aged years years kidnapped cases recovery percentage,9
India,Female,6 Years to 12 Years,3325,2454,5779,2667,35,2702,46.8,3077,2021,"In 2021, for female children aged 6 years to 12 years, there were 5779 kidnapped cases with a recovery percentage of 46.8.",0.4675549403010901,0.5324450596989099,5779,2702,46.75549403010901,female children aged years years kidnapped cases recovery percentage,9
India,Female,Below 6 Years,742,484,1226,472,9,481,39.2,745,2021,"In 2021, for female children aged below 6 years, there were 1226 kidnapped cases with a recovery percentage of 39.2.",0.3923327895595432,0.6076672104404568,1226,481,39.233278955954326,female children aged years kidnapped cases recovery percentage,8
India,Male,12 Years to 16 Years,4178,4425,8603,4577,86,4663,54.2,3940,2021,"In 2021, for male children aged 12 years to 16 years, there were 8603 kidnapped cases with a recovery percentage of 54.2.",0.5420202255027317,0.4579797744972684,8603,4663,54.20202255027316,male children aged years years kidnapped cases recovery percentage,9
India,Male,16 Years to 18 Years,4051,4402,8453,4317,105,4422,52.3,4031,2021,"In 2021, for male children aged 16 years to 18 years, there were 8453 kidnapped cases with a recovery percentage of 52.3.",0.5231278835916243,0.47687211640837573,8453,4422,52.312788359162425,male children aged years years kidnapped cases recovery percentage,9
India,Male,6 Years to 12 Years,2350,1711,4061,1772,34,1806,44.5,2255,2021,"In 2021, for male children aged 6 years to 12 years, there were 4061 kidnapped cases with a recovery percentage of 44.5.",0.44471804974144297,0.555281950258557,4061,1806,44.4718049741443,male children aged years years kidnapped cases recovery percentage,9
India,Male,Below 6 Years,679,418,1097,423,19,442,40.3,655,2021,"In 2021, for male children aged below 6 years, there were 1097 kidnapped cases with a recovery percentage of 40.3.",0.4029170464904284,0.5970829535095715,1097,442,40.29170464904284,male children aged years kidnapped cases recovery percentage,8
India,Total,12 Years to 16 Years,17935,25814,43749,25364,265,25629,113.9,18120,2021,"In 2021, for total children aged 12 years to 16 years, there were 43749 kidnapped cases with a recovery percentage of 113.9.",0.5858191044366728,0.41418089556332716,43749,25629,58.58191044366728,total children aged years years kidnapped cases recovery percentage,9
India,Total,16 Years to 18 Years,25314,38133,63447,36910,289,37199,111.9,26248,2021,"In 2021, for total children aged 16 years to 18 years, there were 63447 kidnapped cases with a recovery percentage of 111.9.",0.5863003766923574,0.4136996233076426,63447,37199,58.63003766923574,total children aged years years kidnapped cases recovery percentage,9
India,Total,6 Years to 12 Years,5675,4165,9840,4439,69,4508,91.3,5332,2021,"In 2021, for total children aged 6 years to 12 years, there were 9840 kidnapped cases with a recovery percentage of 91.3.",0.458130081300813,0.541869918699187,9840,4508,45.8130081300813,total children aged years years kidnapped cases recovery percentage,9
India,Total,Below 6 Years,1421,902,2323,895,28,923,79.5,1400,2021,"In 2021, for total children aged below 6 years, there were 2323 kidnapped cases with a recovery percentage of 79.5.",0.3973310374515712,0.6026689625484287,2323,923,39.73310374515712,total children aged years kidnapped cases recovery percentage,8
India,Female,12 Years to 16 Years,9656,19355,29011,15892,140,16032,55.3,12979,2019,"In 2019, for female children aged 12 years to 16 years, there were 29011 kidnapped cases with a recovery percentage of 55.3.",0.5526179724931922,0.4473820275068078,29011,16032,55.26179724931922,female children aged years years kidnapped cases recovery percentage,9
India,Female,16 Years to 18 Years,15656,31716,47372,27826,180,28006,59.1,19366,2019,"In 2019, for female children aged 16 years to 18 years, there were 47372 kidnapped cases with a recovery percentage of 59.1.",0.5911931098539221,0.40880689014607785,47372,28006,59.11931098539222,female children aged years years kidnapped cases recovery percentage,9
India,Female,6 Years to 12 Years,2452,3724,6176,2873,18,2891,46.8,3285,2019,"In 2019, for female children aged 6 years to 12 years, there were 6176 kidnapped cases with a recovery percentage of 46.8.",0.4681023316062176,0.5318976683937824,6176,2891,46.81023316062176,female children aged years years kidnapped cases recovery percentage,9
India,Female,Below 6 Years,710,575,1285,565,6,571,44.4,714,2019,"In 2019, for female children aged below 6 years, there were 1285 kidnapped cases with a recovery percentage of 44.4.",0.4443579766536965,0.5556420233463035,1285,571,44.43579766536965,female children aged years kidnapped cases recovery percentage,8
India,Male,12 Years to 16 Years,3994,6823,10817,6386,125,6511,60.2,4306,2019,"In 2019, for male children aged 12 years to 16 years, there were 10817 kidnapped cases with a recovery percentage of 60.2.",0.6019228991402422,0.3980771008597578,10817,6511,60.19228991402422,male children aged years years kidnapped cases recovery percentage,9
India,Male,16 Years to 18 Years,4030,5925,9955,5504,74,5578,56.0,4377,2019,"In 2019, for male children aged 16 years to 18 years, there were 9955 kidnapped cases with a recovery percentage of 56.0.",0.5603214465092918,0.43967855349070817,9955,5578,56.03214465092918,male children aged years years kidnapped cases recovery percentage,9
India,Male,6 Years to 12 Years,2299,2576,4875,2458,39,2497,51.2,2378,2019,"In 2019, for male children aged 6 years to 12 years, there were 4875 kidnapped cases with a recovery percentage of 51.2.",0.5122051282051282,0.4877948717948718,4875,2497,51.22051282051282,male children aged years years kidnapped cases recovery percentage,9
India,Male,Below 6 Years,649,570,1219,543,11,554,45.4,665,2019,"In 2019, for male children aged below 6 years, there were 1219 kidnapped cases with a recovery percentage of 45.4.",0.45447087776866285,0.5455291222313372,1219,554,45.44708777686628,male children aged years kidnapped cases recovery percentage,8
India,Total,12 Years to 16 Years,13650,26178,39828,22278,265,22543,115.5,17285,2019,"In 2019, for total children aged 12 years to 16 years, there were 39828 kidnapped cases with a recovery percentage of 115.5.",0.5660088380034147,0.43399116199658533,39828,22543,56.60088380034147,total children aged years years kidnapped cases recovery percentage,9
India,Total,16 Years to 18 Years,19686,37641,57327,33330,254,33584,115.1,23743,2019,"In 2019, for total children aged 16 years to 18 years, there were 57327 kidnapped cases with a recovery percentage of 115.1.",0.5858321558776841,0.41416784412231583,57327,33584,58.583215587768414,total children aged years years kidnapped cases recovery percentage,9
India,Total,6 Years to 12 Years,4751,6300,11051,5331,57,5388,98.0,5663,2019,"In 2019, for total children aged 6 years to 12 years, there were 11051 kidnapped cases with a recovery percentage of 98.0.",0.4875576870871414,0.5124423129128586,11051,5388,48.75576870871414,total children aged years years kidnapped cases recovery percentage,9
India,Total,Below 6 Years,1359,1145,2504,1108,17,1125,89.8,1379,2019,"In 2019, for total children aged below 6 years, there were 2504 kidnapped cases with a recovery percentage of 89.8.",0.4492811501597444,0.5507188498402555,2504,1125,44.92811501597444,total children aged years kidnapped cases recovery percentage,8
India,Female,12 Years to 16 Years,8598,17411,26009,15763,37,15800,60.7,10209,2018,"In 2018, for female children aged 12 years to 16 years, there were 26009 kidnapped cases with a recovery percentage of 60.7.",0.6074820254527279,0.3925179745472721,26009,15800,60.74820254527279,female children aged years years kidnapped cases recovery percentage,9
India,Female,16 Years to 18 Years,14164,27204,41368,24436,53,24489,59.2,16879,2018,"In 2018, for female children aged 16 years to 18 years, there were 41368 kidnapped cases with a recovery percentage of 59.2.",0.5919793076774318,0.40802069232256816,41368,24489,59.19793076774318,female children aged years years kidnapped cases recovery percentage,9
India,Female,6 Years to 12 Years,2121,2927,5048,2556,29,2585,51.2,2463,2018,"In 2018, for female children aged 6 years to 12 years, there were 5048 kidnapped cases with a recovery percentage of 51.2.",0.5120839936608558,0.4879160063391442,5048,2585,51.20839936608558,female children aged years years kidnapped cases recovery percentage,9
India,Female,Below 6 Years,855,564,1419,667,9,676,47.6,743,2018,"In 2018, for female children aged below 6 years, there were 1419 kidnapped cases with a recovery percentage of 47.6.",0.4763918252290345,0.5236081747709654,1419,676,47.639182522903454,female children aged years kidnapped cases recovery percentage,8
India,Male,12 Years to 16 Years,3718,6795,10513,6381,73,6454,61.4,4059,2018,"In 2018, for male children aged 12 years to 16 years, there were 10513 kidnapped cases with a recovery percentage of 61.4.",0.6139065918386759,0.3860934081613241,10513,6454,61.39065918386759,male children aged years years kidnapped cases recovery percentage,9
India,Male,16 Years to 18 Years,3633,5217,8850,4807,16,4823,54.5,4027,2018,"In 2018, for male children aged 16 years to 18 years, there were 8850 kidnapped cases with a recovery percentage of 54.5.",0.5449717514124294,0.4550282485875706,8850,4823,54.49717514124294,male children aged years years kidnapped cases recovery percentage,9
India,Male,6 Years to 12 Years,1955,2689,4644,2492,48,2540,54.7,2104,2018,"In 2018, for male children aged 6 years to 12 years, there were 4644 kidnapped cases with a recovery percentage of 54.7.",0.5469422911283376,0.45305770887166236,4644,2540,54.69422911283377,male children aged years years kidnapped cases recovery percentage,9
India,Male,Below 6 Years,681,549,1230,576,19,595,48.4,635,2018,"In 2018, for male children aged below 6 years, there were 1230 kidnapped cases with a recovery percentage of 48.4.",0.483739837398374,0.516260162601626,1230,595,48.3739837398374,male children aged years kidnapped cases recovery percentage,8
India,Total,12 Years to 16 Years,12316,24206,36522,22144,110,22254,122.1,14268,2018,"In 2018, for total children aged 12 years to 16 years, there were 36522 kidnapped cases with a recovery percentage of 122.1.",0.6093313619188434,0.39066863808115654,36522,22254,60.933136191884344,total children aged years years kidnapped cases recovery percentage,9
India,Total,16 Years to 18 Years,17797,32421,50218,29243,69,29312,113.7,20906,2018,"In 2018, for total children aged 16 years to 18 years, there were 50218 kidnapped cases with a recovery percentage of 113.7.",0.5836950894101717,0.4163049105898283,50218,29312,58.369508941017166,total children aged years years kidnapped cases recovery percentage,9
India,Total,6 Years to 12 Years,4076,5616,9692,5048,77,5125,105.9,4567,2018,"In 2018, for total children aged 6 years to 12 years, there were 9692 kidnapped cases with a recovery percentage of 105.9.",0.5287866281469253,0.4712133718530747,9692,5125,52.87866281469253,total children aged years years kidnapped cases recovery percentage,9
India,Total,Below 6 Years,1536,1113,2649,1243,28,1271,96.0,1378,2018,"In 2018, for total children aged below 6 years, there were 2649 kidnapped cases with a recovery percentage of 96.0.",0.4798036995092488,0.5201963004907513,2649,1271,47.980369950924874,total children aged years kidnapped cases recovery percentage,8
India,Female,12 Years to 16 Years,9288,14978,24266,15382,157,15539,64.0,8727,2017,"In 2017, for female children aged 12 years to 16 years, there were 24266 kidnapped cases with a recovery percentage of 64.0.",0.640360998928542,0.359639001071458,24266,15539,64.0360998928542,female children aged years years kidnapped cases recovery percentage,9
India,Female,16 Years to 18 Years,13676,23864,37540,23065,209,23274,62.0,14266,2017,"In 2017, for female children aged 16 years to 18 years, there were 37540 kidnapped cases with a recovery percentage of 62.0.",0.6199786893979755,0.3800213106020245,37540,23274,61.99786893979755,female children aged years years kidnapped cases recovery percentage,9
India,Female,6 Years to 12 Years,1943,2819,4762,2432,18,2450,51.4,2312,2017,"In 2017, for female children aged 6 years to 12 years, there were 4762 kidnapped cases with a recovery percentage of 51.4.",0.5144897102057959,0.48551028979420413,4762,2450,51.44897102057959,female children aged years years kidnapped cases recovery percentage,9
India,Female,Below 6 Years,897,665,1562,694,18,712,45.6,850,2017,"In 2017, for female children aged below 6 years, there were 1562 kidnapped cases with a recovery percentage of 45.6.",0.4558258642765685,0.5441741357234315,1562,712,45.58258642765685,female children aged years kidnapped cases recovery percentage,8
India,Male,12 Years to 16 Years,4307,6156,10463,6732,69,6801,65.0,3662,2017,"In 2017, for male children aged 12 years to 16 years, there were 10463 kidnapped cases with a recovery percentage of 65.0.",0.6500047787441461,0.34999522125585397,10463,6801,65.0004778744146,male children aged years years kidnapped cases recovery percentage,9
India,Male,16 Years to 18 Years,3184,4955,8139,4363,60,4423,54.3,3716,2017,"In 2017, for male children aged 16 years to 18 years, there were 8139 kidnapped cases with a recovery percentage of 54.3.",0.5434328541589876,0.45656714584101243,8139,4423,54.34328541589876,male children aged years years kidnapped cases recovery percentage,9
India,Male,6 Years to 12 Years,2067,2593,4660,2682,37,2719,58.3,1941,2017,"In 2017, for male children aged 6 years to 12 years, there were 4660 kidnapped cases with a recovery percentage of 58.3.",0.5834763948497854,0.4165236051502146,4660,2719,58.347639484978544,male children aged years years kidnapped cases recovery percentage,9
India,Male,Below 6 Years,842,592,1434,695,16,711,49.6,723,2017,"In 2017, for male children aged below 6 years, there were 1434 kidnapped cases with a recovery percentage of 49.6.",0.49581589958158995,0.50418410041841,1434,711,49.58158995815899,male children aged years kidnapped cases recovery percentage,8
India,Total,12 Years to 16 Years,13595,21134,34729,22114,226,22340,129.0,12389,2017,"In 2017, for total children aged 12 years to 16 years, there were 34729 kidnapped cases with a recovery percentage of 129.0.",0.6432664343920067,0.3567335656079933,34729,22340,64.32664343920067,total children aged years years kidnapped cases recovery percentage,9
India,Total,16 Years to 18 Years,16860,28819,45679,27428,269,27697,116.3,17982,2017,"In 2017, for total children aged 16 years to 18 years, there were 45679 kidnapped cases with a recovery percentage of 116.3.",0.6063398936053767,0.39366010639462334,45679,27697,60.63398936053766,total children aged years years kidnapped cases recovery percentage,9
India,Total,6 Years to 12 Years,4010,5412,9422,5114,55,5169,109.7,4253,2017,"In 2017, for total children aged 6 years to 12 years, there were 9422 kidnapped cases with a recovery percentage of 109.7.",0.5486096370197411,0.451390362980259,9422,5169,54.8609637019741,total children aged years years kidnapped cases recovery percentage,9
India,Total,Below 6 Years,1739,1257,2996,1389,34,1423,95.2,1573,2017,"In 2017, for total children aged below 6 years, there were 2996 kidnapped cases with a recovery percentage of 95.2.",0.4749666221628838,0.5250333778371161,2996,1423,47.496662216288385,total children aged years kidnapped cases recovery percentage,8
India,Female,12 Years to 16 Years,7368,15499,22867,12506,64,12570,55.0,10297,2016,"In 2016, for female children aged 12 years to 16 years, there were 22867 kidnapped cases with a recovery percentage of 55.0.",0.5497004416845236,0.45029955831547647,22867,12570,54.970044168452354,female children aged years years kidnapped cases recovery percentage,9
